region_name,year,dotations,dotations_equalization,other_dotations,subsidies,subventions,other_transfers,PST,ln_population,Urbanization,ln_grp_pc,ln_grp_pc_L1,grp_growth,russian_share,republic,turnout,UR,Putin,closeness_centrality,patronaged,t1,log_growth,delta_PST,closeness_centr,mean_closeness_centr,mean_patronaged,mean_t1,mean_ln_population,mean_ln_grp_pc_L1,mean_log_growth,mean_Urbanization,mean_UR,mean_turnout,mean_Putin
Кемеровская область - Кузбасс,2019,0.9833040655644445,1.019855013834182,0.8831229732903236,1.313577877141775,1.751529051143391,1.162008229263866,1.182001757819137,14.79251889556702,86.39,13.40669176743566,13.39832552058954,0.8401341691709252,93.69873923071353,0,86.8,77.3,85.42,0.9123700643453694,1.0,1.0,0.008366246846120973,-0.41813384369790385,9.123700643453693,5.203967124119177,0.8,0.1,14.804856835034371,13.38397253710104,0.0025126278093269504,86.069,70.75,78.1,79.659
Кемеровская область - Кузбасс,2020,1.682216101049218,0.4877810130066877,3.149935496630238,1.680187073797741,1.908700805964718,1.229522226861182,2.217681232162039,14.78438652930542,86.44,13.37608330538083,13.40669176743566,-3.014476612924344,93.69873923071353,0,86.8,77.3,85.42,0.9108921438261295,1.0,0.0,-0.03060846205483081,1.035679474342902,9.108921438261294,5.203967124119177,0.8,0.1,14.804856835034371,13.38397253710104,0.0025126278093269504,86.069,70.75,78.1,79.659
Кемеровская область - Кузбасс,2021,0.6517905668210892,0.4840581656383794,1.050636336368153,1.488188538721403,1.680734702373061,1.532637379556581,1.399906122328655,14.77376477660844,86.5,13.45809505416448,13.37608330538083,8.546856268993519,93.69873923071353,0,86.8,77.3,85.42,0.920864055368966,1.0,0.0,0.08201174878364981,-0.8177751098333841,9.20864055368966,5.203967124119177,0.8,0.1,14.804856835034371,13.38397253710104,0.0025126278093269504,86.069,70.75,78.1,79.659
Кировская область,2012,1.37057096469787,1.762008262627724,0.1477994122571656,0.579317172869581,1.129577951728232,0.564318547204977,0.5013814028725632,14.08638237650154,74.59,12.69886453230057,12.66729284392982,3.207536074477479,91.87916003881362,0,54.0,34.9,57.93,0.0,0.0,0.0,0.031571688370750195,,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2013,1.370133736890889,1.721603160555015,0.5929255561728091,0.8668092623193293,0.968118460924747,0.1986968946705218,0.7938115387394489,14.07343034497321,74.88,12.71779863550644,12.69886453230057,1.911449002692711,91.87916003881362,0,54.0,34.9,57.93,0.0,0.0,0.0,0.0189341032058703,0.2924301358668857,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2014,1.143993573151161,1.420158777729541,0.780226720010823,1.034839374095392,0.887076217075641,0.2041356795808156,0.9215527701610758,14.06118868767011,75.22,12.75180178459105,12.71779863550644,3.458786472770958,91.87916003881362,0,54.0,34.9,57.93,0.0,0.0,0.0,0.034003149084609774,0.12774123142162697,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2015,1.142128576538604,1.305851388930738,0.6501877825242048,0.8567991473621904,0.8373134666104222,0.7093167241193289,0.7978287326693916,14.04979501824089,75.55,12.75516328232301,12.75180178459105,0.3367153901411735,91.87916003881362,0,54.0,34.9,57.93,0.0,0.0,0.0,0.0033614977319604833,-0.12372403749168426,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2016,1.068525717425475,1.124155143992666,0.8663135159575239,0.8833239842188108,0.9095177201078802,0.6835742704750282,0.87854097808142,14.03887008595384,75.83,12.76208019321252,12.75516328232301,0.6940887968198695,91.87916003881362,0,54.0,34.9,57.93,0.0,0.0,0.0,0.006916910889509964,0.08071224541202837,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2017,1.282091347247645,1.498946165172196,0.3519885299282665,0.8359885006452239,0.8916237417312665,0.7820269321229754,0.7137596740266163,14.02717972965275,76.17,12.78569912037888,12.76208019321252,2.390006303920189,91.87916003881362,0,41.9,38.0,57.93,0.0,0.0,1.0,0.023618927166358716,-0.16478130405480362,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2018,1.139156359350498,1.564635920994507,0.4351021906318199,0.7094654537172712,0.892403701780489,0.8834793282038961,0.5716479218232333,14.01334696790397,76.58,12.81933450942384,12.78569912037888,3.420745460766361,91.87916003881362,0,41.9,38.0,57.93,0.0,0.0,0.0,0.03363538904496011,-0.142111752203383,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2019,1.390374747375792,1.723537543515264,0.4772216172287518,0.9104173996329106,0.9425502667205863,0.7042486390113866,0.7780034825287327,13.99871755597277,77.0,12.84292366272652,12.81933450942384,2.38695780321263,91.87916003881362,0,41.9,38.0,70.41,0.0,0.0,0.0,0.023589153302680188,0.20635556070549943,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2020,1.350294156840554,1.777269511975142,0.8256277128957897,0.7309816848831876,0.9328017804109723,0.675940163747194,0.7655941984119434,13.98328261559239,77.38,12.87324721560065,12.84292366272652,3.078799442277491,91.87916003881362,0,41.9,38.0,70.41,0.0,0.0,0.0,0.03032355287412969,-0.01240928411678932,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Кировская область,2021,1.590912594412039,1.762413398480466,1.183106054385813,0.8061425831171962,0.8975176816829239,0.691416546739889,0.8822003562386864,13.96477934069993,77.75,12.95001939861709,12.87324721560065,7.979605248991173,91.87916003881362,0,41.9,38.0,70.41,0.0,0.0,0.0,0.07677218301644118,0.116606157826743,0.0,0.0,0.0,0.1,14.029697272316138,12.76742057799933,0.028272655468727058,76.095,36.45,47.95,61.674
Костромская область,2012,0.6753339910363988,0.7445431367470706,0.4591385109651606,0.3412008560787393,0.6261888777196113,0.3982479368950688,0.3625013975261435,13.39148170482828,70.38,12.8104536733775,12.75863003989581,5.318997868292552,96.59759640453902,0,57.3,30.7,52.78,0.85,1.0,0.0,0.051823633481690834,,8.5,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2013,0.5860697677306211,0.7452874922029884,0.2339898721733476,0.3478630857399327,0.5675056609024903,0.128874853976172,0.317512666271608,13.38140829276916,70.71,12.84326657240611,12.8104536733775,3.335717902094038,96.59759640453902,0,57.3,30.7,52.78,0.8274647887323924,1.0,1.0,0.03281289902860962,-0.04498873125453551,8.274647887323924,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2014,0.4523265502835433,0.6011176333978664,0.2563378334483707,0.3015072042489532,0.5041551282036272,0.09727639135798606,0.2814096775245029,13.37183566554203,71.12,12.85683122090278,12.84326657240611,1.365706573743086,96.59759640453902,0,57.3,30.7,52.78,0.8090905530910657,1.0,0.0,0.013564648496670273,-0.0361029887471051,8.090905530910657,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2015,0.5936868021385426,0.5740328081192955,0.6527415012492894,0.2639434939575532,0.4396485091635876,0.2320515614032116,0.3749130901349281,13.36177547536456,71.49,12.85279248670075,12.85683122090278,-0.4030589483527192,96.59759640453902,0,57.3,30.7,52.78,0.8156244943128136,1.0,0.0,-0.00403873420203027,0.09350341261042516,8.156244943128137,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2016,0.5104411598596624,0.5038495990623589,0.5344013928187904,0.2333482673935162,0.401248811890802,0.3959794148034482,0.317998432484321,13.35049128614491,71.82,12.83155348421484,12.85279248670075,-2.101504323197845,96.59759640453902,0,57.3,30.7,52.78,0.821875895112361,1.0,0.0,-0.021239002485909708,-0.05691465765060705,8.218758951123611,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2017,0.515919039226407,0.5578651693399104,0.3360096686733002,0.2902600409376597,0.4040642261481207,0.3031943359659455,0.3018136022076781,13.33762313310977,72.2,12.86716112421947,12.83155348421484,3.62491839920529,96.59759640453902,0,39.4,36.6,52.78,0.8347823701864028,1.0,0.0,0.03560764000462946,-0.016184830276642914,8.347823701864028,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2018,0.7820957448370087,0.5806997001109945,1.115351998803537,0.5145753930378588,0.4177237165746372,0.21346692399435,0.8163561347274473,13.32234474442512,72.51,12.88543502188392,12.86716112421947,1.844188704580074,96.59759640453902,0,39.4,36.6,52.78,0.774457257793549,1.0,0.0,0.01827389766445009,0.5145425325197692,7.74457257793549,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2019,0.8209224343931503,0.5229764522971,1.637551149598928,0.6259393304931637,0.4316421711375485,0.4665912244359064,0.9351562919632653,13.30770536809178,72.82,12.91496301071101,12.88543502188392,2.996826267208363,96.59759640453902,0,39.4,36.6,68.71,0.7712409258518598,1.0,0.0,0.029527988827089402,0.11880015723581805,7.712409258518598,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2020,0.6496177053814407,0.5067180436411353,0.8252125177390841,0.5830881414642748,0.4609018503872913,0.2654435538062104,0.6716342054188819,13.29393064692541,73.2,12.89103586469337,12.91496301071101,-2.364316134923239,96.59759640453902,0,39.4,36.6,68.71,0.7846490961743209,1.0,0.0,-0.023927146017639345,-0.26352208654438347,7.846490961743209,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Костромская область,2021,0.6924046015572626,0.5059561118727962,1.135754788073012,0.5073899593436108,0.4115379657048382,0.3384148563058277,0.6341715528497074,13.27696424159768,73.59,12.95774436191591,12.89103586469337,6.898382099945843,96.59759640453902,0,39.4,36.6,68.71,0.783674104262977,1.0,0.0,0.06670849722254069,-0.03746265256917447,7.83674104262977,8.072859485517743,1.0,0.1,13.339556055879871,12.851212249900556,0.019911432202010103,71.98400000000001,33.65,48.35,57.559000000000005
Краснодарский край,2012,2.237891235187222,1.262930280137783,5.283473572076618,7.615239100801199,2.679065642061787,4.76768485506964,7.194102455867412,15.48822876279806,53.54,13.19569720333061,13.17127093540327,2.472703307365043,88.25308927432054,0,72.6,56.2,63.72,0.7405243030858282,1.0,0.0,0.024426267927340817,,7.405243030858282,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2013,1.069768636879795,0.689483973075854,1.910696273283504,4.424613316388508,2.723506326025948,2.06230388097743,3.754583601962356,15.50186358455395,53.97,13.22032109369181,13.19569720333061,2.492956213544639,88.25308927432054,0,72.6,56.2,63.72,0.7253086419753075,1.0,0.0,0.02462389036119994,-3.439518853905056,7.2530864197530756,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2014,1.591260185129442,1.133869132077074,2.193739068294406,2.278336579281332,2.9199642737022,1.960543600399141,2.240696012061834,15.51563360752647,54.35,13.21352668445571,13.22032109369181,-0.6771379425169366,88.25308927432054,0,72.6,56.2,63.72,0.5009378658912778,1.0,0.0,-0.006794409236100307,-1.5138875899005222,5.009378658912778,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2015,1.6408675911719,1.001308038042113,3.562563351153091,2.492013598932838,2.977681707610483,2.61316604579741,2.797566794843457,15.52800204711763,54.66,13.18502886293467,13.21352668445571,-2.809558858285954,88.25308927432054,0,72.6,56.2,63.72,0.4924525248681116,1.0,0.0,-0.028497821521039413,0.556870782781623,4.924525248681116,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2016,1.788769607789006,1.254609106567223,3.730435692712929,1.888874697547953,3.25836482823288,1.733335075653589,2.406685107405982,15.54094520044935,55.03,13.17308520993604,13.18502886293467,-1.187261069132994,88.25308927432054,0,72.6,56.2,63.72,1.0,1.0,1.0,-0.011943652998629872,-0.3908816874374752,10.0,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2017,2.819902776086663,1.45029046112901,8.694248962947206,2.205557780092362,3.275040780868228,1.575386727568845,3.844204799834971,15.55124238555316,55.4,13.19525521496973,13.17308520993604,2.24175858325939,88.25308927432054,0,51.2,59.3,63.72,1.0,1.0,0.0,0.022170005033689932,1.4375196924289892,10.0,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2018,1.586579835495872,1.362247147877539,1.957790060699822,1.850765687160186,3.46160912616619,1.70633832874197,1.904525927681689,15.56033406792202,55.78,13.19611386345404,13.19525521496973,0.08590172284501651,88.25308927432054,0,51.2,59.3,63.72,1.0,1.0,0.0,0.0008586484843089437,-1.939678872153282,10.0,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2019,1.563415939159354,1.455596577698107,1.858933891792861,2.062116612964388,3.465300739538102,1.537987512956488,2.000010237300031,15.56887200220499,56.1,13.19057143815087,13.19611386345404,-0.5527094400585851,88.25308927432054,0,51.2,59.3,81.35,1.0,1.0,0.0,-0.005542425303168841,0.09548430961834176,10.0,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
Краснодарский край,2020,2.481417209773007,1.503832465815718,3.682671345635371,2.716830267930594,3.517183257588978,1.630713690964575,3.070043055309621,15.57420777837586,56.39,13.16707169135232,13.19057143815087,-2.322577801053272,88.25308927432054,0,51.2,59.3,81.35,1.0,1.0,0.0,-0.023499746798551158,1.0700328180095902,10.0,8.459223335820525,1.0,0.1,15.54067998324553,13.190794219767906,0.0070424677028171345,55.198,57.75,61.9,69.00899999999999
